Países,Anos,Cod país,Expectativa de vida,Região,Grupo de renda
Uganda,2001,UGA,47.22,Sub-Saharan Africa,Low income
Ukraine,2001,UKR,67.83707317073171,Europe & Central Asia,Lower middle income
Uruguay,2001,URY,74.939,Latin America & Caribbean,High income
United States,2001,USA,76.83658536585367,North America,High income
Uzbekistan,2001,UZB,67.374,Europe & Central Asia,Lower middle income
Vietnam,2001,VNM,73.228,East Asia & Pacific,Lower middle income
Vanuatu,2001,VUT,67.583,East Asia & Pacific,Lower middle income
Samoa,2001,WSM,69.103,East Asia & Pacific,Lower middle income
South Africa,2001,ZAF,55.089,Sub-Saharan Africa,Upper middle income
Zambia,2001,ZMB,44.615,Sub-Saharan Africa,Low income
Zimbabwe,2001,ZWE,44.01,Sub-Saharan Africa,Lower middle income
Afghanistan,2002,AFG,56.784,South Asia,Low income
Angola,2002,AGO,47.702,Sub-Saharan Africa,Lower middle income
Albania,2002,ALB,74.579,Europe & Central Asia,Upper middle income
Andorra,2002,AND,,Europe & Central Asia,High income
United Arab Emirates,2002,ARE,74.758,Middle East & North Africa,High income
Argentina,2002,ARG,73.932,Latin America & Caribbean,Upper middle income
Armenia,2002,ARM,72.112,Europe & Central Asia,Upper middle income
American Samoa,2002,ASM,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,2002,ATG,74.395,Latin America & Caribbean,High income
Australia,2002,AUS,79.93658536585367,East Asia & Pacific,High income
Austria,2002,AUT,78.67804878048783,Europe & Central Asia,High income
Azerbaijan,2002,AZE,67.391,Europe & Central Asia,Upper middle income
Burundi,2002,BDI,50.81,Sub-Saharan Africa,Low income
Belgium,2002,BEL,78.07560975609758,Europe & Central Asia,High income
Benin,2002,BEN,56.025,Sub-Saharan Africa,Lower middle income
Burkina Faso,2002,BFA,51.384,Sub-Saharan Africa,Low income
Bangladesh,2002,BGD,66.43,South Asia,Lower middle income
Bulgaria,2002,BGR,71.86585365853658,Europe & Central Asia,Upper middle income
Bahrain,2002,BHR,74.822,Middle East & North Africa,High income
Bosnia and Herzegovina,2002,BIH,74.803,Europe & Central Asia,Upper middle income
Belarus,2002,BLR,68.05609756097562,Europe & Central Asia,Upper middle income
Belize,2002,BLZ,69.272,Latin America & Caribbean,Upper middle income
Bermuda,2002,BMU,78.08780487804879,North America,High income
Bolivia,2002,BOL,63.64,Latin America & Caribbean,Lower middle income
Brazil,2002,BRA,70.813,Latin America & Caribbean,Upper middle income
Barbados,2002,BRB,77.534,Latin America & Caribbean,High income
Bhutan,2002,BTN,62.728,South Asia,Lower middle income
Botswana,2002,BWA,50.232,Sub-Saharan Africa,Upper middle income
Central African Republic,2002,CAF,44.063,Sub-Saharan Africa,Low income
Canada,2002,CAN,79.49024390243902,North America,High income
Switzerland,2002,CHE,80.38536585365854,Europe & Central Asia,High income
Chile,2002,CHL,76.894,Latin America & Caribbean,High income
China,2002,CHN,72.061,East Asia & Pacific,Upper middle income
Cote d'Ivoire,2002,CIV,49.475,Sub-Saharan Africa,Lower middle income
Cameroon,2002,CMR,51.536,Sub-Saharan Africa,Lower middle income
Colombia,2002,COL,73.517,Latin America & Caribbean,Upper middle income
Comoros,2002,COM,59.617,Sub-Saharan Africa,Lower middle income
Costa Rica,2002,CRI,77.74,Latin America & Caribbean,Upper middle income
Cuba,2002,CUB,77.105,Latin America & Caribbean,Upper middle income
Cyprus,2002,CYP,78.264,Europe & Central Asia,High income
Germany,2002,DEU,78.22926829268293,Europe & Central Asia,High income
Djibouti,2002,DJI,57.235,Middle East & North Africa,Lower middle income
Dominica,2002,DMA,76.59756097560977,Latin America & Caribbean,Upper middle income
Denmark,2002,DNK,76.89512195121951,Europe & Central Asia,High income
Dominican Republic,2002,DOM,69.957,Latin America & Caribbean,Upper middle income
Algeria,2002,DZA,71.605,Middle East & North Africa,Lower middle income
Ecuador,2002,ECU,73.371,Latin America & Caribbean,Upper middle income
Eritrea,2002,ERI,56.5,Sub-Saharan Africa,Low income
Spain,2002,ESP,79.56829268292684,Europe & Central Asia,High income
Estonia,2002,EST,70.9048780487805,Europe & Central Asia,High income
Ethiopia,2002,ETH,53.349,Sub-Saharan Africa,Low income
Finland,2002,FIN,78.11951219512196,Europe & Central Asia,High income
Fiji,2002,FJI,66.022,East Asia & Pacific,Upper middle income
France,2002,FRA,79.26097560975612,Europe & Central Asia,High income
Gabon,2002,GAB,57.791,Sub-Saharan Africa,Upper middle income
United Kingdom,2002,GBR,78.14390243902439,Europe & Central Asia,High income
Georgia,2002,GEO,70.22,Europe & Central Asia,Upper middle income
Ghana,2002,GHA,57.425,Sub-Saharan Africa,Lower middle income
Guinea,2002,GIN,51.484,Sub-Saharan Africa,Low income
Guinea-Bissau,2002,GNB,51.123,Sub-Saharan Africa,Low income
Equatorial Guinea,2002,GNQ,53.84,Sub-Saharan Africa,Upper middle income
Greece,2002,GRC,78.64146341463415,Europe & Central Asia,High income
Grenada,2002,GRD,72.929,Latin America & Caribbean,Upper middle income
Greenland,2002,GRL,67.19634146341464,Europe & Central Asia,High income
Guatemala,2002,GTM,68.717,Latin America & Caribbean,Upper middle income
Guam,2002,GUM,75.726,East Asia & Pacific,High income
Guyana,2002,GUY,65.828,Latin America & Caribbean,Upper middle income
Honduras,2002,HND,71.249,Latin America & Caribbean,Lower middle income
Croatia,2002,HRV,74.71731707317075,Europe & Central Asia,High income
Haiti,2002,HTI,57.655,Latin America & Caribbean,Lower middle income
Hungary,2002,HUN,72.34878048780489,Europe & Central Asia,High income
Indonesia,2002,IDN,66.321,East Asia & Pacific,Lower middle income
India,2002,IND,63.304,South Asia,Lower middle income
Ireland,2002,IRL,77.63414634146342,Europe & Central Asia,High income
Iraq,2002,IRQ,68.827,Middle East & North Africa,Upper middle income
Iceland,2002,ISL,80.50243902439026,Europe & Central Asia,High income
Israel,2002,ISR,79.45121951219512,Middle East & North Africa,High income
Italy,2002,ITA,80.22926829268295,Europe & Central Asia,High income
Jamaica,2002,JAM,74.14,Latin America & Caribbean,Upper middle income
Jordan,2002,JOR,72.083,Middle East & North Africa,Upper middle income
Japan,2002,JPN,81.56341463414634,East Asia & Pacific,High income
Kazakhstan,2002,KAZ,65.95,Europe & Central Asia,Upper middle income
Kenya,2002,KEN,51.606,Sub-Saharan Africa,Lower middle income
Cambodia,2002,KHM,60.283,East Asia & Pacific,Lower middle income
Kiribati,2002,KIR,63.731,East Asia & Pacific,Lower middle income
Kuwait,2002,KWT,73.28,Middle East & North Africa,High income
Lebanon,2002,LBN,75.488,Middle East & North Africa,Lower middle income
Liberia,2002,LBR,52.826,Sub-Saharan Africa,Low income
Libya,2002,LBY,71.244,Middle East & North Africa,Upper middle income
Sri Lanka,2002,LKA,73.085,South Asia,Lower middle income
Lesotho,2002,LSO,44.898,Sub-Saharan Africa,Lower middle income
Lithuania,2002,LTU,71.76097560975612,Europe & Central Asia,High income
Luxembourg,2002,LUX,77.96585365853659,Europe & Central Asia,High income
Latvia,2002,LVA,70.96097560975612,Europe & Central Asia,High income
Morocco,2002,MAR,69.769,Middle East & North Africa,Lower middle income
Monaco,2002,MCO,,Europe & Central Asia,High income
Moldova,2002,MDA,67.362,Europe & Central Asia,Upper middle income
Madagascar,2002,MDG,59.717,Sub-Saharan Africa,Low income
Maldives,2002,MDV,71.708,South Asia,Upper middle income
Mexico,2002,MEX,74.922,Latin America & Caribbean,Upper middle income
Marshall Islands,2002,MHL,,East Asia & Pacific,Upper middle income
North Macedonia,2002,MKD,73.03902439024391,Europe & Central Asia,Upper middle income
Mali,2002,MLI,49.54,Sub-Saharan Africa,Low income
Malta,2002,MLT,78.73902439024391,Middle East & North Africa,High income
Myanmar,2002,MMR,60.685,East Asia & Pacific,Lower middle income
Montenegro,2002,MNE,73.23726829268294,Europe & Central Asia,Upper middle income
Mongolia,2002,MNG,63.777,East Asia & Pacific,Lower middle income
Northern Mariana Islands,2002,MNP,,East Asia & Pacific,High income
Mozambique,2002,MOZ,49.61,Sub-Saharan Africa,Low income
Mauritania,2002,MRT,60.892,Sub-Saharan Africa,Lower middle income
Mauritius,2002,MUS,71.96585365853659,Sub-Saharan Africa,Upper middle income
Malawi,2002,MWI,45.517,Sub-Saharan Africa,Low income
Malaysia,2002,MYS,72.976,East Asia & Pacific,Upper middle income
Namibia,2002,NAM,50.862,Sub-Saharan Africa,Upper middle income
Niger,2002,NER,51.256,Sub-Saharan Africa,Low income
Nigeria,2002,NGA,46.835,Sub-Saharan Africa,Lower middle income
Nicaragua,2002,NIC,70.308,Latin America & Caribbean,Lower middle income
Netherlands,2002,NLD,78.29268292682927,Europe & Central Asia,High income
Norway,2002,NOR,78.98780487804879,Europe & Central Asia,High income
Nepal,2002,NPL,63.57,South Asia,Lower middle income
Nauru,2002,NRU,,East Asia & Pacific,High income
New Zealand,2002,NZL,78.84634146341463,East Asia & Pacific,High income
Oman,2002,OMN,73.022,Middle East & North Africa,High income
Pakistan,2002,PAK,63.3,South Asia,Lower middle income
Panama,2002,PAN,75.401,Latin America & Caribbean,High income
Peru,2002,PER,71.882,Latin America & Caribbean,Upper middle income
Philippines,2002,PHL,68.88,East Asia & Pacific,Lower middle income
Palau,2002,PLW,,East Asia & Pacific,Upper middle income
Papua New Guinea,2002,PNG,59.722,East Asia & Pacific,Lower middle income
Poland,2002,POL,74.49756097560977,Europe & Central Asia,High income
Puerto Rico,2002,PRI,77.76048780487805,Latin America & Caribbean,High income
Portugal,2002,PRT,77.0658536585366,Europe & Central Asia,High income
Paraguay,2002,PRY,71.023,Latin America & Caribbean,Upper middle income
Qatar,2002,QAT,77.762,Middle East & North Africa,High income
Romania,2002,ROU,71.00975609756098,Europe & Central Asia,High income
Rwanda,2002,RWA,50.987,Sub-Saharan Africa,Low income
Saudi Arabia,2002,SAU,72.92,Middle East & North Africa,High income
Sudan,2002,SDN,59.258,Sub-Saharan Africa,Low income
Senegal,2002,SEN,58.675,Sub-Saharan Africa,Lower middle income
Singapore,2002,SGP,78.55121951219512,East Asia & Pacific,High income
Solomon Islands,2002,SLB,68.175,East Asia & Pacific,Lower middle income
Sierra Leone,2002,SLE,41.376,Sub-Saharan Africa,Low income
El Salvador,2002,SLV,69.432,Latin America & Caribbean,Lower middle income
San Marino,2002,SMR,,Europe & Central Asia,High income
Somalia,2002,SOM,51.492,Sub-Saharan Africa,Low income
Serbia,2002,SRB,72.28536585365855,Europe & Central Asia,Upper middle income
South Sudan,2002,SSD,50.05,Sub-Saharan Africa,Low income
Sao Tome and Principe,2002,STP,62.687,Sub-Saharan Africa,Lower middle income
Suriname,2002,SUR,68.064,Latin America & Caribbean,Upper middle income
Slovenia,2002,SVN,76.00731707317074,Europe & Central Asia,High income
Sweden,2002,SWE,79.84634146341465,Europe & Central Asia,High income
Eswatini,2002,SWZ,44.41,Sub-Saharan Africa,Lower middle income
Seychelles,2002,SYC,71.08780487804879,Sub-Saharan Africa,High income
Chad,2002,TCD,47.9,Sub-Saharan Africa,Low income
Togo,2002,TGO,53.71,Sub-Saharan Africa,Low income
Thailand,2002,THA,71.089,East Asia & Pacific,Upper middle income
Tajikistan,2002,TJK,63.653,Europe & Central Asia,Lower middle income
Turkmenistan,2002,TKM,64.101,Europe & Central Asia,Upper middle income
Tonga,2002,TON,69.771,East Asia & Pacific,Upper middle income
Trinidad and Tobago,2002,TTO,69.903,Latin America & Caribbean,High income
Tunisia,2002,TUN,73.638,Middle East & North Africa,Lower middle income
Tuvalu,2002,TUV,,East Asia & Pacific,Upper middle income
Tanzania,2002,TZA,52.142,Sub-Saharan Africa,Lower middle income
Uganda,2002,UGA,48.299,Sub-Saharan Africa,Low income
Ukraine,2002,UKR,68.27560975609757,Europe & Central Asia,Lower middle income
Uruguay,2002,URY,75.152,Latin America & Caribbean,High income
United States,2002,USA,76.93658536585366,North America,High income
Uzbekistan,2002,UZB,67.613,Europe & Central Asia,Lower middle income
Vietnam,2002,VNM,73.438,East Asia & Pacific,Lower middle income
Vanuatu,2002,VUT,67.793,East Asia & Pacific,Lower middle income
Samoa,2002,WSM,69.451,East Asia & Pacific,Lower middle income
South Africa,2002,ZAF,54.31,Sub-Saharan Africa,Upper middle income
Zambia,2002,ZMB,45.4,Sub-Saharan Africa,Low income
Zimbabwe,2002,ZWE,43.523,Sub-Saharan Africa,Lower middle income
Afghanistan,2003,AFG,57.271,South Asia,Low income
Angola,2003,AGO,48.44,Sub-Saharan Africa,Lower middle income
Albania,2003,ALB,74.828,Europe & Central Asia,Upper middle income
Andorra,2003,AND,,Europe & Central Asia,High income
United Arab Emirates,2003,ARE,74.968,Middle East & North Africa,High income
Argentina,2003,ARG,74.107,Latin America & Caribbean,Upper middle income
Armenia,2003,ARM,72.348,Europe & Central Asia,Upper middle income
American Samoa,2003,ASM,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,2003,ATG,74.613,Latin America & Caribbean,High income
Australia,2003,AUS,80.23902439024391,East Asia & Pacific,High income
Austria,2003,AUT,78.63170731707318,Europe & Central Asia,High income
Azerbaijan,2003,AZE,67.791,Europe & Central Asia,Upper middle income
Burundi,2003,BDI,51.69,Sub-Saharan Africa,Low income
Belgium,2003,BEL,78.12926829268292,Europe & Central Asia,High income
Benin,2003,BEN,56.436,Sub-Saharan Africa,Lower middle income
Burkina Faso,2003,BFA,51.956,Sub-Saharan Africa,Low income
Bangladesh,2003,BGD,66.886,South Asia,Lower middle income
Bulgaria,2003,BGR,72.0658536585366,Europe & Central Asia,Upper middle income
Bahrain,2003,BHR,74.999,Middle East & North Africa,High income
Bosnia and Herzegovina,2003,BIH,74.941,Europe & Central Asia,Upper middle income
Belarus,2003,BLR,68.55365853658539,Europe & Central Asia,Upper middle income
Belize,2003,BLZ,69.511,Latin America & Caribbean,Upper middle income
Bermuda,2003,BMU,78.33414634146341,North America,High income
Bolivia,2003,BOL,64.21,Latin America & Caribbean,Lower middle income
Brazil,2003,BRA,71.17,Latin America & Caribbean,Upper middle income
Barbados,2003,BRB,77.682,Latin America & Caribbean,High income
Bhutan,2003,BTN,63.624,South Asia,Lower middle income
Botswana,2003,BWA,50.518,Sub-Saharan Africa,Upper middle income
Central African Republic,2003,CAF,44.182,Sub-Saharan Africa,Low income
Canada,2003,CAN,79.74146341463417,North America,High income
Switzerland,2003,CHE,80.53658536585368,Europe & Central Asia,High income
Chile,2003,CHL,77.146,Latin America & Caribbean,High income
China,2003,CHN,72.381,East Asia & Pacific,Upper middle income
Cote d'Ivoire,2003,CIV,49.572,Sub-Saharan Africa,Lower middle income
Cameroon,2003,CMR,51.908,Sub-Saharan Africa,Lower middle income
Colombia,2003,COL,73.777,Latin America & Caribbean,Upper middle income
Comoros,2003,COM,59.738,Sub-Saharan Africa,Lower middle income
Costa Rica,2003,CRI,77.871,Latin America & Caribbean,Upper middle income
Cuba,2003,CUB,77.303,Latin America & Caribbean,Upper middle income
Cyprus,2003,CYP,78.385,Europe & Central Asia,High income
Germany,2003,DEU,78.38048780487806,Europe & Central Asia,High income
Djibouti,2003,DJI,57.427,Middle East & North Africa,Lower middle income
Dominica,2003,DMA,,Latin America & Caribbean,Upper middle income
Denmark,2003,DNK,77.1439024390244,Europe & Central Asia,High income
Dominican Republic,2003,DOM,70.227,Latin America & Caribbean,Upper middle income
Algeria,2003,DZA,72.101,Middle East & North Africa,Lower middle income
Ecuador,2003,ECU,73.641,Latin America & Caribbean,Upper middle income
Eritrea,2003,ERI,57.191,Sub-Saharan Africa,Low income
Spain,2003,ESP,79.61951219512197,Europe & Central Asia,High income
Estonia,2003,EST,71.3170731707317,Europe & Central Asia,High income
Ethiopia,2003,ETH,54.211,Sub-Saharan Africa,Low income
Finland,2003,FIN,78.36829268292684,Europe & Central Asia,High income
Fiji,2003,FJI,66.152,East Asia & Pacific,Upper middle income
France,2003,FRA,79.11463414634147,Europe & Central Asia,High income
Gabon,2003,GAB,57.759,Sub-Saharan Africa,Upper middle income
United Kingdom,2003,GBR,78.44634146341464,Europe & Central Asia,High income
Georgia,2003,GEO,70.349,Europe & Central Asia,Upper middle income
Ghana,2003,GHA,57.785,Sub-Saharan Africa,Lower middle income
Guinea,2003,GIN,51.901,Sub-Saharan Africa,Low income
Guinea-Bissau,2003,GNB,51.501,Sub-Saharan Africa,Low income
Equatorial Guinea,2003,GNQ,54.064,Sub-Saharan Africa,Upper middle income
Greece,2003,GRC,78.84146341463415,Europe & Central Asia,High income
Grenada,2003,GRD,73.023,Latin America & Caribbean,Upper middle income
Greenland,2003,GRL,68.1148780487805,Europe & Central Asia,High income
Guatemala,2003,GTM,69.092,Latin America & Caribbean,Upper middle income
Guam,2003,GUM,76.065,East Asia & Pacific,High income
Guyana,2003,GUY,66.122,Latin America & Caribbean,Upper middle income
Honduras,2003,HND,71.511,Latin America & Caribbean,Lower middle income
Croatia,2003,HRV,74.6139024390244,Europe & Central Asia,High income
Haiti,2003,HTI,57.959,Latin America & Caribbean,Lower middle income
Hungary,2003,HUN,72.3,Europe & Central Asia,High income
Indonesia,2003,IDN,66.631,East Asia & Pacific,Lower middle income
